drug_name,mapping
"PELGRAZ*SC 1SIR 6MG 0,6ML",Pelgraz 6 mg soluzione iniettabile in siringa pre-riempita
MEKTOVI*84CPR RIV 15MG,Mektovi** **15** **mg compresse rivestite con film
LUAN*GEL 100G 1% CHIRURGICO,LUAN 1% gel
BUSCOPAN*30CPR RIV 10MG,BUSCOPAN 10 mg compresse rivestite
BUSCOPAN*IM IV 6F 1ML 20MG,BUSCOPAN 10 mg compresse rivestite
NOVALGINA*IM IV 5F 1G 2ML,Novalgina 1 g/2 ml soluzione iniettabile
COLCHICINA LIRCA*60CPR DIV 1MG,COLCHICINA LIRCA 1 mg compresse
HIRUDOID 40000UI*GEL 50G,HIRUDOID 40.000 U.I. Gel
TACHIPIRINA*AD 10SUPP 1000MG,TACHIPIRINA 1000 mg compresse
TACHIPIRINA*16CPR DIV 1000MG,TACHIPIRINA 1000 mg compresse
FLEBOCORTID RICHTER*1F100MG+1F,Flebocortid Richter 100 mg/2 ml polvere e solvente per
FLEBOCORTID RICHTER*EV FL500MG,Flebocortid Richter 500 mg/5 ml polvere e solvente
FLEBOCORTID RICHTER*EV FL1G+F,Flebocortid Richter 100 mg/2 ml polvere e solvente per
DECADRON*INIET 3F 2ML 8MG/2ML,Decadron 8 mg/2 ml fiale
DECADRON*INIET 6F 1ML 4MG/1ML,Decadron 4 mg/1 ml fiale
DECADRON*INIET 6F 2ML 8MG/2ML,Decadron 8 mg/2 ml fiale
"LANOXIN*30CPR 0,250MG","LANOXIN 0,0625 mg Compresse"
"LANOXIN*30CPR 0,125MG","LANOXIN 0,0625 mg Compresse"
"LANOXIN*INIET 6F 2ML 0,5MG/2ML","LANOXIN 0,0625 mg Compresse"
SERENASE*OS GTT 15ML 2MG/ML,informazioni per lei.
SERENASE*OS GTT 15ML 10MG/ML,informazioni per lei.
URBASON SOL*IM EV 3F 20MG+3F1M,Urbason Solubile 20 mg/ml polvere e solvente per soluzione iniettabile
URBASON SOL*IM EV 40MG+1F 1ML,Urbason Solubile 40 mg/ml polvere e solvente per soluzione iniettabile
CARVASIN*50CPR 5MG SUBLINGUALI,Carvasin 5 mg compresse sublinguali
"BENTELAN*10CPR EFF 0,5MG","Bentelan 0,5 mg compresse effervescenti"
CONNETTIVINA*10GARZE 2MG 10x10,Connettivina 12 mg garze impregnate
METHOTREXATE*INIET FL 50MG 2ML,"METHOTREXATE 2,5 mg compresse"
VALIUM*EV IM 3F 2ML 10MG/2ML,Valium 10 mg/2 mL soluzione iniettabile
VALIUM*EV IM 5F 2ML 10MG/2ML,Valium 10 mg/2 mL soluzione iniettabile
RIFOCIN*IM 1F 250MG 3ML,RIFOCIN 250 mg/3 ml soluzione iniettabile per uso intramuscolare
FLUIMUCIL*EV AER 5F 300MG 3ML,FLUIMUCIL 600 mg compresse effervescenti
ISOPTIN*30CPR RIV 40MG,ISOPTIN 80 mg Compresse rivestite con film
ISOPTIN*EV 5F 5MG 2ML,ISOPTIN 240 mg Compresse a rilascio prolungato
MAALOX*40CPR MAST 400MG+400MG,MAALOX 400 mg + 400 mg compresse masticabili
"MAALOX*OS SOSP 250ML 4+3,5% ME","MAALOX 3,65% + 3,25% sospensione orale"
SPASMEX*INIETT 10F 40MG/4ML,Spasmex 150 mg+ 150 mg supposte
RIFADIN*8CPR RIV 450MG,Rifadin 450 mg compresse rivestite
RIFADIN*EV 1F 600MG+F 10ML,Rifadin 150 mg capsule rigide
ALKERAN*EV 1FL 50MG+1F 10ML,ALKERAN 2 mg compresse rivestite con film
UGUROL*IV OS LOC 6F 5ML 500MG,UGUROL 250 mg compresse
ADRIBLASTINA*EV FL50MG/25ML,ADRIBLASTINA 50 mg/25 ml soluzione iniettabile per uso endovenoso
DEPAKIN*EV 4F 400MG+4F 4ML,DEPAKIN 200 mg compresse gastroresistenti
DEBRIDAT*IM IV 5F 5ML 50MG,Debridat 150 mg capsule molli
VENTOLIN*EV 10F 100MCG 5ML,Ventolin 100 microgrammi/5 ml Soluzione iniettabile
BRONCOVALEAS*INAL 200D 100MCG,(possono interessare fino a 1 paziente su 10.000)
DEURSIL*20CPS 450MG RP,Deursil 50 mg capsule rigide
SELOKEN*IV 5F 5ML 5MG,SELOKEN 100 mg compresse
MINIRIN/DDAVP*INIET 10F4MCG/ML,Minirin/DDAVP 120 mcg compresse sublinguali
"MINIRIN/DDAVP*SPRAY NAS0,125MG","Minirin/DDAVP 50 mcg/ml spray nasale, soluzione"
LASIX*30CPR 25MG,LASIX 25 mg compresse
LASIX*INF 5F 250MG/25ML,LASIX 250 mg/25 ml soluzione per infusione
LUVION*EV 6FL 200MG+6F 2ML,LUVION 50 mg Compresse
DICLOREUM*INIET 6F 75MG 3ML,Dicloreum 75 mg/3 ml soluzione iniettabile per uso intramuscolare
DICLOREUM*20CPS 150MG RP,Dicloreum 150 mg capsule rigide a rilascio prolungato
"LEDERFOLIN*10CPR 7,5MG","LEDERFOLIN 7,5 mg compresse"
LEDERFOLIN*EV 1FL 25MG,"LEDERFOLIN 7,5 mg compresse"
RYTMONORM*30CPR RIV 300MG,Rytmonorm 300 mg compresse rivestite
RYTMONORM*EV 5F 70MG 20ML,Rytmonorm 150 mg compresse rivestite
CORDARONE*20CPR 200MG,Cordarone 200 mg compresse
CORDARONE*IV 6F 150MG 3ML,Cordarone 150 mg/3 ml soluzione iniettabile per uso endovenoso
TINSET*30CPR 30MG,TINSET 25 mg/ml gocce orali sospensione
NORMIX*AD 12CPR RIV 200MG,Normix 200 mg compresse rivestite con film
UROMITEXAN*EV 15F 4ML 400MG/4M,FARMACO:
HALDOL*OS GTT 30ML 2MG/ML,Haldol 2 mg/ml soluzione orale
HALDOL*IM 5F 1ML 5MG/ML,Haldol 2 mg/ml soluzione orale
PRILAGIN*CREMA DERM 30G 2%,Prilagin emulsione cutanea 2%
LEVOPRAID*OS GTT 20ML 25MG/ML,Levopraid 25 mg compresse
"SELEPARINA*6SIR 0,3ML 2850UI","SELEPARINA 2.850 U.I. antiXa/0,3 ml soluzione iniettabile"
"SELEPARINA*6SIR 0,4ML 3800UI","SELEPARINA 3.800 U.I. antiXa/0,4 ml soluzione iniettabile"
PENTACOL 800*60CPR 800MG RM,Pentacol 500 mg gel rettale
PENTACOL*SOSP RETT 7CLISMI 4G,Pentacol 4 g schiuma rettale
ULTRAVIST*INF 100ML 300MG/ML,Ultravist 300 mg/ml soluzione iniettabile
ULTRAVIST*INF 100ML 370MG/ML,Ultravist 370 mg/ml soluzione iniettabile
ULTRAVIST*INF 200ML 300MG/ML,Ultravist 300 mg/ml soluzione iniettabile
ULTRAVIST*INF 500ML 370MG/ML,Ultravist 300 mg/ml soluzione iniettabile
"CLEXANE*6SIR 2000UI 0,2ML","CLEXANE 2.000 UI (20 mg)/0,2 ml soluzione iniettabile in siringhe preriempite"
